brand,name,feedbacks,nmFeedbacks,id,rating,reviewRating,root,optionId,basic,product
Jarvi elaman,"Сухой корм для стерилизованных кошек, Индейка, 800 г",506,506,253067579,5,5.0,161910952,395106037,1612.0,1289.0
MYSTERIOUS,Urinary Сухой корм для кошек с мочекаменной болезнью 1.7 кг,320,320,287666201,5,4.9,268484381,439732890,2450.0,759.0
Chammy,Сухой корм для кошек мясное ассорти 10кг,495,495,303214102,4,4.4,285804979,460802757,1980.0,1306.0
PURINA ONE,"Сухой корм для стерилизованных кошек 1,5 кг курица",466,466,229548595,5,5.0,248863324,362689185,1210.0,914.0
AlphaPet WOW,Сухой корм для стерил кошек с индейкой и потрошками 075 кг,1014,1014,76755481,5,4.9,60559217,128762806,848.0,503.0
AlphaPet,"Корм для кошек сухой для стерилизованных индейка 1,5 кг",1676,1676,154528505,5,5.0,136683562,258061579,1384.0,776.0
Kitekat,"Сухой корм для кошек, телятинка аппетитная, 1.9кг",211,211,166030513,5,4.9,200094873,276373832,1200.0,820.0
Royal canin,Сухой корм для кошек Мейн Кун Adult 400 г,807,807,175390906,5,5.0,160229476,290663226,772.0,509.0
Royal canin,Сухой корм для длинношерстных кошек Indoor Long Hair 400 г,1133,1133,174986463,5,4.9,159878456,290059008,690.0,455.0
Royal canin,"Сухой корм для кошек, Indoor 27, 200 гр",294,294,410121855,5,5.0,402512668,588699265,366.0,223.0
FELIX,Сухой корм для кошек с мясом 1.3 кг,1319,1319,277071588,5,4.9,263529962,426628826,1400.0,425.0
Doctrine,"Корм для кошек сухой индейка и ягненок, 800 г",112,112,194058095,5,4.9,142214020,315933500,1674.0,964.0
Best Dinner,"Корм для стерил кошек сухой Индейка картофель 1,5 кг",686,686,42279323,5,4.9,31555354,84687587,2909.0,1858.0
MONGE,"Сухой корм для стерилизованных кошек, говядина 1,5кг",22,22,449614382,5,4.9,446703916,635355950,1816.0,1198.0
Belkorm Petboom,Корм сухой для кошек с мясом и овощами PetBoom 10 кг,1588,1588,211936855,5,4.8,191443291,338907910,2050.0,1845.0
Одно Мясо,Сухой корм для стерилизованных кошек 1.5 кг с уткой,154,154,367627013,5,5.0,531978051,538204637,2520.0,1663.0
Royal canin,Сухой корм для привередливых кошек Protein Exigent 400 г,892,892,175018371,5,5.0,159905500,290106880,690.0,455.0
Chat&Chat,Сухой корм для кошек с курицей и горохом 2 кг,8,8,162537105,5,4.5,148837782,270114036,1512.0,898.0
Royal Canin.,Сухой корм для стерилизованных кошек Sterilised 37 2 кг,89,89,481830526,4,4.3,484970748,672924751,2500.0,1650.0
LEO&LUCY,"Корм сухой Holistic стерилизованных кошек индейка 0,4 кг",34,34,199179634,5,4.9,180636130,322414268,874.0,786.0
Dezzie,Корм для кошек сухой для стерилизованных 2 кг премиум,349,349,149606580,5,4.9,126720280,251032497,2444.0,1209.0
ЗООГУРМАН,Сухой корм для кошек стерилизованных СУПЕРПРЕМИУМ Индейка,7151,7151,9637386,5,4.8,7375160,31844277,1605.0,953.0
Grandorf,Грандорф cat rabbit&turkey sterilised 2кг,18,18,450969728,5,5.0,448149408,636898375,3150.0,2520.0
BLITZ,"Сухой корм для кошек с ягненком, 2кг",203,203,97703378,5,4.9,386892521,154800651,4340.0,1260.0
Meat Garden,Сухой корм 1.5 кг для стерилизованных кошек холистик,5,5,369621954,5,5.0,205041150,540619460,2844.0,1539.0
SIRIUS,"Сухой корм для кошек с мясным рационом, 1,5кг",626,626,53249703,5,4.9,39684016,99337177,1460.0,963.0
WHISKAS,"Корм для стерилизованных кошек, подушечки, курица 5кг",6569,6569,79468910,5,4.9,181835454,132196129,2534.0,2027.0
PRO PLAN,Сухой корм для стерилизованных кошек 7+ лет индейка 1.5кг,180,180,401846458,5,5.0,141771405,579669197,2087.0,1377.0
AlphaPet,Сухой корм для стерил кошек с уткой и индейкой 1.5 кг,1286,1286,74127824,5,4.9,58682699,125268231,2636.0,1565.0
PET’S BRUNCH,Корм сухой для кошек шерстевыводящий HAIRBALL REMOVE 2кг,312,312,204847489,5,4.9,185610565,329471482,2000.0,1620.0
Darsi,"Корм для взрослых кошек 1,8 кг",236,236,194142337,5,4.9,176324675,316039484,1263.0,545.0
